miRNA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,e1036,e1048,e1059,e1044,e1026,e1051,e1041,e1037,e1007,e1045,e1043,e1047,e1029,e1046,e1008,e1019,e1033,e1017,e1049,e1034,e1061,e1015,e1004,e1024,e1039,e1003,e1014,e1001,e1052,e1038,e1020,e1042,e1060,e1054,e1023,e1063,e1062,e1005,e1010,e1055,e1050,e1027,e1006,e1011,e1013,e1009,e1030,e1012,e1040,e1002,e1053,e1032,e1058,e1016,e1056,e1057,e1035,e1031,e1022,e1021
hsa-let-7a-3p,1.6304622,1.93955894,1.8550969,1.92799844,1.31403916,1.28738099,1.76638356,1.42862741,2.06662936,1.65445652,1.68805734,1.60544703,1.77522149,2.11994209,1.69868541,1.6775874,1.57792043,1.71916685,1.80925653,2.04417555,2.03441237,1.38617954,1.76638356,1.69911962,1.99487387,1.63089641,1.76638356,1.64263077,1.82466519,1.57792043,1.38617954,1.57835464,1.90292913,1.79235801,1.83236791,1.64306498,1.53412575,1.80067088,0.967445072,1.64263077,1.92187007,1.77522149,1.59211936,1.38617954,1.28738099,1.66595823,2.05286748,1.44815587,0.902300525,1.83280212,1.42862741,1.51784867,1.44772166,1.51828288,2.04876342,1.51828288,1.156748,2.00554728,1.19370839,1.61793034,1.61836455,1.73912953,1.0725092,1.28738099,1.79279222,1.59211936,1.54895817,1.84036604,1.6775874,0.967445072,1.86183869,1.54939238,1.59211936,1.79235801,2.07485085,1.22687501,1.90249492,2.18034919,1.77565571,2.05286748,1.28694678,1.86183869,1.71916685,1.70905103,1.15718221,1.1167381,1.76681777,1.53369154,1.72904463,1.93955894,1.98481288,1.61836455,1.8250994,2.16378568,1.82466519,1.7843114,1.86183869,2.06223365,1.68849155,2.28886505,1.87583286,1.79235801,1.84779608,2.03010318,1.70948524,1.88980974,1.63089641,1.99487387,1.56368903,1.36348286,2.22200306,1.80925653,1.92799844,1.9093382,1.9573661,2.07911267,1.89598647,1.68849155,1.87583286,1.70620252,1.92124183,1.68052687,2.06104632,1.46172235,1.94339215,1.32474367,1.79301422,1.61335285,1.33778958,1.39939446,1.6742202,1.37616322,1.04612392,1.46172235,1.69896063,1.47154015,1.75033153,1.23793198,1.55996864,1.62051307,1.8608895,1.64136952,1.72247879,1.82188039,2.07218474,1.59870104,2.07492911,1.62051307,1.78298972,1.54354818,1.63577094,1.95885908,2.165722,1.92874035,1.71795981,1.86641246,1.62051307,1.66260316,1.47279271,2.05089363,1.83568269,2.065108,2.00107457,1.76754579,2.24173881,2.16673142,1.89527863,1.99264247,1.38666795,1.50108693,1.8159367,1.55308175,1.57584164,1.80641346,1.59120252,1.43099259,1.95055238,1.66782889,1.52654115
hsa-let-7a-5p,4.18628263,3.97520399,3.97037316,3.71243197,3.90880982,4.07730457,3.8644229,3.95690422,4.15071274,4.03505743,3.99100068,4.19532022,4.08093178,3.06925249,4.19346506,4.10158687,3.54733822,3.85168094,4.25601849,4.30586184,3.91937611,3.81034341,3.5262064,3.75196403,4.03169154,3.80748386,3.68409838,4.18738129,3.79759318,3.99627612,3.39343271,4.02806222,3.85637568,3.60559484,3.96744694,3.43340417,3.64792405,4.36554564,3.67867531,3.88418473,4.05674329,4.08806753,3.70996167,3.2453349,3.69740476,3.71577666,3.98038326,3.32374066,3.92418176,3.78882251,3.81193006,3.85709512,3.80687995,4.06592632,4.20884584,4.05425599,3.57798422,4.11633876,3.66665527,3.93471221,3.60970347,3.70076255,3.67623405,3.65224565,4.13816057,3.82461747,4.2627873,3.8331426,4.39737399,3.74182157,3.52500311,4.22103469,3.62576523,3.81325803,3.99448543,3.5253316,3.75586062,4.00106836,3.86277159,3.74125712,3.7868829,3.52707953,3.91600485,3.56221342,3.73449506,3.89581674,3.82563541,3.77287627,3.64410082,3.70954213,3.82183481,3.80269679,3.81023861,3.91531749,3.76789589,3.42977585,3.70054851,4.022161,3.74601344,2.98605645,4.02367857,3.67584117,3.74338113,3.8093027,3.51075826,4.13909708,3.95774989,3.60264954,4.16814681,3.90298022,4.13229919,3.95260934,3.98085216,3.99628656,4.06874805,3.53593368,3.60623659,3.56617715,3.99111858,3.9294355,3.67066295,4.09921916,3.90454165,3.59373235,3.81330162,3.43723644,3.79529752,3.97212034,3.33673758,3.64723962,3.2426351,3.73526984,3.36685663,3.81606447,4.47196994,3.35791474,3.93812074,3.59769339,3.64659627,3.60116378,3.9023469,4.09669287,4.14387743,3.9583713,3.71212827,4.38827613,3.7343431,4.01447564,3.67554889,3.96200176,3.59690796,4.009355,4.46585634,3.81399419,4.14909741,3.43012667,3.70873399,4.07556381,3.53847755,3.97292134,4.18558151,4.17446617,3.79529801,3.69564182,3.93065179,4.41999699,3.97062992,3.27261513,3.8886957,3.68216125,3.83413109,3.97034253,3.85358069,3.84561549,4.05933107,3.17134304,3.74905285,3.99679754,3.73349144
hsa-let-7b-3p,0.639502171,1.18182725,0.948314878,1.06458353,1.18182725,1.15660044,1.18182725,1.27710987,0.414765481,1.06294409,1.18182725,0.990552284,1.40295885,1.18346669,1.12636028,1.15660044,1.38684226,1.43353355,1.31742468,1.46377371,1.09578558,1.02747258,1.09578558,1.27710987,1.23111771,1.3884817,1.18182725,1.35273641,1.29608611,1.154961,1.06294409,1.12799972,0.90162359,1.29608611,1.27547043,0.790251755,1.25548815,1.18182725,0.90162359,1.31578524,1.31742468,0.639502171,1.02911202,1.12636028,0.90162359,1.70214708,1.33464584,0.990552284,1.09578558,1.25548815,1.67893006,1.27547043,1.41850983,1.29772555,1.23275714,1.33628528,1.60325938,1.50348599,1.53993041,0.946675439,1.63412858,1.06458353,1.50184656,1.20879686,1.18346669,1.29772555,1.47577096,0.990552284,1.20879686,1.12799972,1.23111771,1.15660044,1.20879686,0.988912845,1.38684226,1.154961,1.29608611,1.46213427,1.31742468,1.46213427,1.18182725,1.38684226,1.31578524,1.06294409,1.18346669,1.4480646,1.3717568,2.00932035,1.18182725,1.37011736,1.06458353,1.09742502,1.52811218,1.25548815,1.09578558,0.64114161,0.988912845,1.52811218,1.40459829,1.27710987,1.4480646,1.29608611,0.721938748,1.42014927,1.3717568,1.02911202,1.02911202,0.788612316,0.946675439,1.78294422,1.29772555,1.71177156,1.20879686,1.35437585,1.15660044,1.35273641,1.18182725,1.23275714,1.47577096,1.06432049,1.17663857,1.14117333,1.31860599,0.894116524,1.29389581,0.163807641,1.10726472,0.894116524,1.05938132,1.06432049,1.31860599,1.18157774,1.18157774,1.29389581,1.01137377,1.31860599,1.23946933,0.728851724,0.956947285,1.3639408,1.17663857,1.05938132,1.20926343,1.61788232,1.53629435,0.819803507,1.26759035,1.01137377,0.961886455,1.50716817,1.2444085,1.36887996,1.46409978,1.49178547,1.38978676,1.10726472,1.58896017,1.42863454,1.4096733,1.48073854,1.27252952,1.62936458,1.55011239,1.51210734,1.40473413,1.42369537,1.64053221,0.961886455,1.05938132,1.10726472,1.3639408,1.21420259,0.956947285,1.14117333,0.956947285,0.611594483,1.10232555,1.14117333,1.23946933
hsa-let-7b-5p,3.9392029,3.72571609,3.79829889,4.01350021,3.61228831,3.55842046,4.06268097,3.98508909,3.4948686,3.69692439,3.72910665,3.54580687,3.76757671,4.34003246,3.77802346,3.94951078,4.54499965,3.29321858,3.76614608,4.3273893,3.77928566,3.77051564,4.02617331,3.88536362,3.89402341,3.97584852,3.99705425,4.51962729,4.51607746,3.74423638,3.88985756,3.58839305,3.81983347,4.62133376,3.87306765,3.77145796,4.17918145,4.65817579,3.57203367,4.30800791,4.02602692,3.98698697,3.87140039,4.06154498,3.58425078,4.2573227,4.30229405,3.92294757,3.74103812,4.33826247,4.07928856,4.0725237,4.05384545,3.73641296,4.53056593,3.8339723,4.31672744,4.00888461,3.7603299,3.92212223,4.308546,4.33051513,4.20586762,3.8041637,3.85273186,4.12827135,4.50543747,3.98818427,4.26439235,3.91500759,4.58034661,4.1255838,3.69856197,3.78547346,4.07523468,3.81120982,4.26492043,4.19707828,3.92501063,4.03690247,3.67043367,4.27568173,4.12994427,3.92383553,3.91004872,3.86669438,4.00991911,4.03829784,3.76944271,4.56024556,4.02642509,4.01210419,4.18475637,4.20213248,3.70554742,3.70450704,3.63381428,3.92706398,4.310191,3.75056059,4.01781807,4.29135315,3.80017352,4.31720088,3.73073272,4.17142643,3.85767936,3.83692742,3.93510524,4.15783581,3.96020014,4.08946554,4.29083448,3.91279339,4.38312155,4.34179132,4.35960027,3.93640662,3.95211951,3.98695456,4.20847958,4.05264262,4.14010298,3.43770972,3.79096369,3.68159137,3.84434553,3.8913945,3.46525194,3.83845291,3.63610845,4.01481891,3.78181513,3.96932153,4.35204288,3.76767335,4.25469087,4.10855659,3.78603155,4.00784067,4.18388597,3.96785777,4.272242,4.18987859,3.7256088,4.17323052,3.99862602,3.69967856,3.89092672,4.13902877,3.70784879,4.14931087,4.41680068,4.34325124,4.1912113,3.67587828,4.43117383,4.28056506,3.80053039,3.89210278,4.56499675,4.21592907,4.14414737,4.03101726,4.38860315,4.43426377,4.34016367,3.82172443,3.99368942,3.73091362,3.87515396,4.0741712,3.80304786,4.11670973,3.80196347,3.00179513,4.08295941,4.07669758,3.70380802
hsa-let-7c-5p,2.78100037,2.69375135,2.5563616,2.53511098,2.42827735,2.5149996,2.53193209,2.72293981,2.57000199,2.57566494,2.56511544,2.60332506,2.56994069,2.2346469,2.71733817,2.73247762,2.49277293,2.31642977,2.82278882,3.03264092,2.69301736,2.38731477,2.42696912,2.52037793,2.66888896,2.54838149,2.47659591,2.97546874,2.74109915,2.46468223,2.0628283,2.59612581,2.53511098,2.59424695,2.45368946,2.14961179,2.55038954,3.19722524,2.25603877,2.62249951,2.8249996,2.65553649,2.49283423,2.11987295,2.38594577,2.62929952,2.74242053,3.01438087,2.38156667,2.65480015,2.71037884,2.5775573,2.60682155,2.6130435,2.97592731,2.5851111,2.45615511,2.74116045,2.37726924,2.47659591,2.52885453,2.43094399,2.47541834,2.37139258,2.63104522,2.54737417,2.90099276,2.62682258,2.91167871,2.49055778,2.5822544,2.71460407,2.27283,2.56023901,2.8501488,2.29073358,2.78582815,2.79533427,2.61565873,2.40276131,2.37866545,2.55232755,2.71243501,2.49163612,2.5149996,2.51168084,2.63356032,2.59242218,2.332796,2.74570748,2.63937592,2.53199339,2.60243129,2.83102502,2.3757458,2.13993055,2.32468569,2.66895026,2.72636892,2.02992263,2.8645361,2.60593468,2.4973536,2.70396731,2.33124664,2.84759289,2.58788961,2.46948481,2.65153436,2.75414519,2.75613186,2.72568514,2.75033139,2.60332506,2.85797352,2.58875076,2.54630333,2.39726553,2.69667563,2.54680609,2.50874568,2.68041848,2.61570729,2.1602855,2.40094935,2.25335564,2.47115007,2.59247515,1.99202823,2.31828333,2.26495704,2.42425545,2.13441153,2.47321099,2.96918842,2.17507233,2.75376717,2.46880139,2.47101264,2.38189034,2.63759055,2.6081212,2.68917214,2.75701617,2.43639974,2.885941,2.61420223,2.64181881,2.50688302,2.63331433,2.38481019,2.71556812,2.99048316,2.73563279,2.78584036,2.46671454,2.64461153,2.76417815,2.37640057,2.61584472,2.89406174,2.87941851,2.89749794,2.70740981,2.84409346,3.04269955,2.717867,2.24555561,2.56600703,2.42674401,2.66885661,2.63201552,2.49863741,2.64461153,2.56941896,1.82719173,2.58112328,2.68419496,2.44594496
hsa-let-7d-3p,2.23103207,2.67546002,2.54520759,2.2689204,2.52646969,2.81202414,2.65371696,3.09304365,2.04671086,2.6939753,2.67318295,2.63708877,2.73864663,3.13006565,2.64323067,2.83492744,3.17641079,2.79076274,2.72886705,2.89749232,2.68221889,2.56547677,2.42493333,2.61764759,2.58277355,2.69058229,2.48470188,2.78495317,2.72065778,2.61276295,2.44493734,2.68618907,2.3377412,2.76764153,2.74124801,2.29743267,2.65090711,2.44232396,2.46158077,2.66705037,2.74965033,2.12920449,2.50544934,2.61538709,2.31893971,2.91235626,2.6724212,2.38664442,2.88274718,2.71739782,3.10556359,2.93472376,2.91494837,2.85369218,2.84870183,2.67348901,3.1397343,2.91157604,3.01004586,2.17092373,3.07839334,2.49054699,3.02510663,2.88338832,2.48348855,2.974994,2.94205995,2.61067128,2.80317646,2.9440669,2.98359957,2.41822252,2.51984643,2.33895454,2.76026641,2.66239212,2.8494129,2.7540211,2.73938582,2.57517293,2.56547677,2.59116473,2.73602922,2.61625822,2.60357845,2.87430036,2.77606658,3.15370836,2.4010611,2.73140957,2.43848105,2.49749004,2.81420756,2.56229735,2.31840182,1.73196149,2.25614323,2.99144918,2.833369,2.9436657,3.01501891,2.67997786,2.19851285,2.90016884,2.52201867,2.28625641,2.77784968,2.23318232,2.43170657,3.16960837,2.4893787,2.87733144,2.67424668,2.67651161,2.56622045,2.62401896,2.559551,2.5543407,2.72269458,2.36601035,2.49791105,2.6539475,2.75868449,2.33232575,2.49994973,2.48966428,2.57016022,2.43912513,2.54633709,2.4384929,2.75052177,2.73079654,2.67643128,2.81820765,2.35521469,2.80586488,2.74340738,2.48548449,2.38230445,2.69292282,2.54264607,2.3796665,2.58677304,2.94667157,2.79425061,2.15113087,2.61767637,2.3020045,2.57016022,2.77902933,2.53033655,2.84663192,2.79449786,2.73496502,2.99845863,2.50306224,3.1220631,2.8341445,3.19456552,3.0723986,2.95497274,2.91514907,2.76442714,2.68460442,3.15773175,2.97552773,3.27445278,2.4291521,2.38492729,2.4024362,2.51199473,2.48253488,2.34104379,2.50400006,2.22725333,2.44144252,2.79210689,2.5481715,2.4833802
hsa-let-7d-5p,3.16766522,2.97032548,3.1195614,2.73954035,2.98146349,3.10833627,3.07580544,2.96163149,2.87464311,3.07411302,3.07241404,3.1462478,3.12451529,2.38362471,3.12564746,3.08704774,2.9099481,2.8153608,3.11495133,3.2714496,2.83990516,3.01763551,2.60673214,2.85622001,3.04384061,2.60176537,2.62007122,2.91363162,2.74317675,2.99891715,2.58914606,2.88520596,2.86450379,2.57481579,3.0456538,2.51380398,2.49196061,2.91056417,2.51074936,2.8236959,2.99282232,3.06295006,2.54748248,2.20693108,2.61283196,2.36480487,2.99130254,2.32917055,2.84991655,2.69355898,2.54180813,2.84707941,2.62717954,3.10042383,3.16799378,3.11417825,2.51229309,3.04879518,2.67287888,3.08458501,2.49514853,2.82741905,2.61767593,2.60548536,3.10518841,2.80056587,3.15726939,2.61039675,3.30071776,2.62950984,2.45528599,3.30223188,2.7893464,2.7811667,2.79740326,2.65118835,2.37536772,3.17882287,2.90435035,3.09521684,2.84134944,2.56136882,2.86039523,2.48714859,2.67499135,2.91607022,2.78032511,2.65118835,2.71041488,2.64219651,2.91422879,2.9232919,2.96327218,2.65560228,2.88782113,2.319794,2.7958064,3.06898243,2.52433059,2.32215701,2.80451799,2.60177912,2.61161605,2.75385466,2.4094752,2.99839985,2.98040108,2.64446182,3.16526148,2.62007122,3.07325059,2.88455318,3.08704774,3.12260807,3.00983754,2.58008116,2.68849346,2.31502942,3.01667001,2.81240714,2.80898164,3.21448703,2.80898164,2.7349368,2.75866922,2.48609475,2.84660396,2.94677855,2.57605276,2.76197896,2.47182648,2.62288793,2.35392415,2.79528652,3.41749619,2.39749726,2.97355249,2.31199666,2.52126371,2.57605276,3.02424814,3.05055967,3.03164286,2.80792926,2.74260836,3.33398494,2.65657292,2.93586538,2.62906779,2.9170198,2.56183578,3.11744125,3.47164015,2.76977539,3.06483112,2.48711928,2.60708015,2.97818859,2.54996407,3.04486387,2.9874124,3.19206015,2.78112824,2.70845791,2.90687426,3.39484646,2.93544352,2.57074417,2.94497933,2.69818309,2.73671968,2.87482032,2.77413666,2.82320875,3.07847286,2.31525488,2.7757605,3.0426385,2.79321897
hsa-let-7e-5p,1.80487839,1.34444479,1.50806218,1.70304442,1.72841301,2.10740651,1.95976565,2.48740393,1.23065512,1.87003064,2.10062115,1.84243136,1.90335237,1.35761016,1.8244951,1.91438128,1.77371462,1.55540355,1.83781034,2.16189911,1.90335237,1.82926599,1.70388985,1.87775447,2.5590091,1.8819775,1.73433663,1.79473304,1.67792335,1.92296907,1.26682367,1.99288337,2.05384957,1.37203523,1.67792335,1.90250693,1.83781034,1.65739391,1.66349828,2.18660458,2.27181329,1.42252489,2.07334247,1.55540355,1.85153072,2.10825195,1.38520944,1.77286919,1.93433373,1.82842055,2.35111259,2.30287379,2.06035282,2.33635191,1.73933636,2.32108038,1.88282293,2.42938882,2.12228331,1.46782651,1.92973251,1.7887261,2.22306319,2.14601501,2.18364258,1.95892022,2.23834795,2.26303958,1.80901948,2.00576906,1.23150056,1.9372124,1.66349828,2.24579628,2.29136803,1.86129167,1.99372881,2.03130923,2.40694483,1.93057794,1.70388985,1.56414252,1.83865577,1.90335237,1.98960229,2.16938081,1.9796101,2.29136803,1.61322676,1.59746425,1.80901948,1.94456762,1.68371418,2.18996207,1.85685643,1.5456426,1.90335237,1.98629664,1.97622844,1.79898943,2.45734552,1.60541587,2.04231157,1.98960229,1.95892022,1.89030422,2.43542589,1.77906382,2.03130923,2.30124836,2.12953778,2.11983841,1.99937325,2.09461422,2.22026939,1.75164486,1.42252489,1.84700449,2.27091788,1.85342906,1.35742316,1.9881716,2.2691408,1.4261154,2.011675,1.69500837,1.93391876,1.96324291,1.66072206,1.57937454,1.17156798,2.11559931,1.45380235,2.06848209,1.86718105,1.5364249,1.8778621,1.79651664,2.03390731,1.8778621,1.82144533,1.92746404,1.78346165,2.26226318,1.80916987,1.95458579,1.90833512,2.09419031,1.96045684,1.72665457,1.78067559,2.00888894,1.88548666,1.76997855,2.51299731,1.45380235,2.04808795,2.29390938,2.03827269,2.42623896,1.92467797,2.3917126,2.08791236,1.73882279,2.32607919,2.35350253,2.36697145,1.10539553,1.60325229,1.95179973,2.21248448,1.65793599,1.90833512,1.97172151,1.60325229,1.5599283,2.04808795,1.88827272,1.93670482
hsa-let-7f-5p,4.06974939,4.00009675,3.98454676,3.67049056,3.83184148,4.03140333,3.75705222,3.71059171,4.37066095,3.9861231,3.94164852,4.24916545,4.00513269,3.09036717,4.19728343,4.01764934,3.10069967,3.82959849,4.20921478,4.14465753,3.83032868,3.58734907,3.33772801,3.56749627,3.97547646,3.68425378,3.61895458,3.97170699,3.60847858,3.80701197,3.14878436,3.95479683,3.71916193,3.31845033,3.91162921,3.3861018,3.64728168,4.27701565,3.42894592,3.67814485,3.95670631,3.91345642,3.64468437,2.9540248,3.69716412,3.59841013,3.83695879,3.35686406,3.55820545,3.72827367,3.68417674,3.77145668,3.71015443,3.97447814,4.00304639,3.92100131,3.25932509,3.99404659,3.53361522,3.76405181,3.3097683,3.44693901,3.42908328,3.4042678,3.93297887,3.60023578,3.97220043,3.84782604,4.24722329,3.52353142,3.32154896,3.9808272,3.49221906,3.88474947,3.92449653,3.4822158,3.73330488,3.90290825,3.66778313,3.583698,3.56347994,3.37582615,3.76554245,3.54610961,3.48714082,3.69272574,3.59698179,3.58849598,3.54799156,3.53508118,3.77280731,3.56329601,3.44198269,3.87227431,3.72862768,3.44706871,3.61886529,3.91440462,3.64156483,3.34403717,3.95677698,3.52013328,3.76358264,3.77985504,3.50700888,4.08468933,3.8858821,3.64388274,3.99582465,3.67594445,4.06894766,3.81342872,3.94863213,3.91057834,4.00262548,3.44753504,3.41894627,3.44132651,3.94191214,3.63339834,3.53417023,3.97779887,3.86206624,3.49175802,3.74124232,3.09964919,3.695875,3.77086921,3.15346086,3.39813302,2.99322678,3.57172131,3.12428643,3.58330929,4.35083144,3.16290877,3.78259358,3.52717731,3.61568301,3.4132288,3.86971471,3.98928424,3.96849482,3.82446046,3.60073445,4.27761684,3.62589561,4.00243941,3.65284291,3.62223894,3.46205905,3.85727697,4.37979493,3.70947867,3.96521263,3.39713104,3.50444284,3.90797639,3.41906725,4.00503731,4.06595791,4.05091061,3.76447992,3.55859792,3.99789144,4.38179985,3.84078381,3.32385307,3.73822327,3.60247407,3.85457157,3.81586256,3.74639255,3.86718209,4.09202793,3.14961573,3.77115713,3.88414101,3.61018163
hsa-let-7g-5p,4.1423879,3.79074119,3.76356923,3.3750688,3.42625638,3.64266969,3.40720361,3.30116703,4.44127312,3.59579624,3.55661833,3.86766918,3.70985155,3.02666422,3.84756429,3.52059654,2.96017825,3.64421574,3.87230732,3.71961024,3.40476298,3.1703202,3.17409324,3.22520056,3.5876475,3.43335827,3.37769372,3.75777578,3.5569334,3.43485934,2.97400483,3.63693266,3.38355016,3.40297944,3.68830197,3.19079196,3.39597353,3.9737858,3.01604102,3.41007065,3.52349277,3.66527396,3.25053513,2.86284093,3.19115332,3.32068623,3.64998997,3.064845,3.11206595,3.536872,3.23216607,3.45734039,3.30534095,3.45312106,3.8279278,3.48778192,3.05830849,3.62035054,3.07624526,3.67344729,3.12249588,3.21880206,3.02375663,2.94184956,3.57729292,3.32738047,3.65581527,3.3781504,4.0382009,3.12122758,3.297179,3.822106,3.36276681,3.4918848,3.61525596,3.25643276,3.57164533,3.61759475,3.39324292,3.56751381,3.38122848,3.47400172,3.61068018,3.25424605,3.2377252,3.297179,3.41091586,3.19963621,3.44411205,3.62830314,3.52196184,3.41506255,3.3821479,3.64422144,3.51274128,3.33186405,3.47759921,3.67883906,3.59017664,3.35461954,3.65919891,3.49768799,3.38401659,3.67137803,3.23084777,3.85887838,3.61070631,3.55090818,3.82970862,3.42519565,3.78330012,3.57215364,3.65316595,3.61181926,3.78826063,3.50801519,3.52238476,3.2091999,3.56520165,3.43513018,3.70994013,3.78153927,3.53940665,3.33124195,3.50212958,2.94644674,3.50640137,3.48562346,3.00832339,3.31535078,3.07198122,3.18244974,3.09869448,3.22442558,4.04660368,3.11197351,3.61773164,3.32672864,3.23064769,3.35555636,3.90017689,3.67997129,3.77451511,3.45158283,3.42783504,3.8889091,3.44099966,3.62453361,3.44113959,3.38250639,3.03101191,3.62893689,4.1210002,3.68972391,3.55314974,3.00798294,3.3488186,3.60207033,3.08116834,3.43301532,3.81693763,3.77163052,3.68291118,3.56201918,3.64346096,4.0397291,3.48517442,3.47213018,3.77163096,3.28604051,3.34632034,3.58988271,3.36108857,3.72417114,3.79654686,2.99068496,3.40653017,3.80577021,3.35822105
